name,latitude,longitude,address,postalCode
1909 McKee's Rocks Strike,40.4760582,-80.0601889,,
North Ave at Lincoln Ave,40.480961,-79.9739002,,
Crossfit Mt. Lebanon,40.3860454,-80.0429927,Washington Road; 427,15228
Carnegie Park,40.40358779915517,-80.07320556605808,,
Bellefield Presbyterian Church,40.44364395162985,-79.95672986043152,,
UPMC Mercy,40.43590952617552,-79.98601470511865,ocust Street; 1400,15219
East Building,40.43027328301744,-79.99594527289275,,
undromat,40.4521726,-79.9505945,,
Cupka's Cafe,40.42791606060723,-79.97190439983268,East Carson Street; 2314,15203
Shadyside Plaza,40.45838615441956,-79.92469349092902,,
Roselawn Houses,40.4420452,-79.937925,,
Dunkin' Donuts,40.4419154,-79.9559829,,
CoGo's,40.4729092,-80.0619462,Island Avenue; 721,15136
Pashek Associates,40.45401098426205,-79.99795204970194,,
Foster Zero,40.42130669090638,-80.0550376552786,Holiday Drive; 400,15220
Pittsburgh Renaissance,40.4440169,-80.0019349,,
Squirrel Hill News Stand,40.438025,-79.922647,,
East Liberty Lutheran Church,40.46306638953907,-79.9281550010629,,
Pittsburgh News,40.4429325,-80.0019725,,
Missionary Temple Church of God in Christ,40.46300615042782,-79.92093330463148,,
Courtyard by Marriott Pittsburgh Shadyside,40.456026157800686,-79.93969396315337,iberty Ave; 5308,15224
X Shadyside,40.45159885891589,-79.93175534096609,,
Shadyside Place,40.45341374564314,-79.93808054004246,South Aiken Avenue; 580,15232
West Park American Hardware,40.4727814,-80.0740876,,
Oak Hill Apartments,40.44085606636457,-79.96890232568857,,
Bellevue Tobacco,40.4969191,-80.0590953,incoln Avenue; 615,
Foster Plaza 6,40.42091802123129,-80.06306807646125,ndersen Drive; 681,15220
North Side,40.44798,-80.0095949,,
Pittsburgh Gifted Center,40.446924,-79.9809499,,
Darragh Street Apartments,40.442194,-79.9640948,,
Pittsburgh City Theatre,40.4290243,-79.9914731,,
Brentwood Park,40.375249354260255,-79.97203319185152,,
Foster Plaza 7,40.42072288092592,-80.06414099352418,ndersen Drive; 661,15220
One Gateway Center,40.44301531372473,-80.004978022493,Fort Duquesne Boulevard; 420,
Dollar Bank,40.42797412205528,-79.98092533022758,East Carson Street; 1712,15203
Mount Lebanon High School,40.3740083726793,-80.0509632408945,,
llegheny Antiques,40.4529424,-79.9996947,,
Metaltech,40.43493410096045,-79.96957767958004,Second Avenue; 2400,15219
East Liberty Park,40.46275646873026,-79.91924838671078,,
Sprit House,40.44190911485003,-79.93791769639967,,
Pizza Fiesta,40.4379826,-80.0001673,,
Welch House,40.44094952503465,-79.93896847995498,,
West Building,40.43050801020115,-79.99691267773501,,
Costco Gas,40.4044261,-79.9209257,,
Resnik House,40.44255799500126,-79.94000745589017,Margaret Morrison Street; 5125,
Filmet Park,40.42499751774305,-79.88070584811322,,
llegheny General Hospital Center for Children,40.45597802097866,-79.99924935835936,,
Kristas Cantina,40.4670458,-80.0339306,California Avenue; 2650,15212
incoln Elementary School Library,40.46007,-79.91144,,
William Pitt Union,40.44338984822348,-79.95484341658387,,
