name,position,address,postalCode
McKees Rocks Bridge,40.47708444297618; -80.04827499389648,Mckees Rocks Bridge; Route 65,15233
Evergreen Ave at North Ave,40.490904032645446; -79.97235623293952,,15209
Bikram Yoga Mt Lebanon,40.3803799135966; -80.04462103863825,704 Washington Rd,15228
Carnegie Station,40.40590052921221; -80.09089672728946,,15106
Bellefield Presbyterian Church,40.44360000244504; -79.9567470599738,4001 5th Ave; Thackery St,15213
UPMC Mercy Inpatient Rehab,40.43703183991521; -79.9861094646355,1400 Locust St,15219
Taste Buds,40.42908619503872; -80.0070031194732,1 Virginia Ave; btwn Thorpe & Southern,15211
Bloomers Laundromat,40.464535; -79.951796,,0
Jazzman's Cafe,40.436397414468416; -79.95626449584961,409 Cato St,15213
UPMC Shadyside Helipad,40.45422857885188; -79.93872084502375,,15232
Scobell House,40.44137322552305; -79.93955099643642,Margaret Morrison St; Carnegie Mellon University,15213
Dunkin' Donuts,40.44217779110238; -79.95618065171519,3907 Forbes Ave,15213
cogo's,40.47322296313937; -80.06258643561316,Island Ave; McKees Rocks; PA 15136,15136
Northside Associates,40.4546718; -80.0174854,1300 Brighton Rd,15233
Fosters,40.421101275; -80.06067216396332,680 Andersen Dr,15220
PCN Pittsburgh Bureau,40.440358624464; -80.00662057408256,34 Blvd of the Allies,15222
Squirrel Hill Locksmith,40.434521; -79.922889,,15217
East Liberty Presbyterian Church,40.460950232734746; -79.92556372747504,116 S Highland Ave; Penn Ave,15206
Pittsburgh Hail Storm,40.4434; -80.01526772975922,,15206
Morningside Church of God in Christ,40.46557235717773; -79.94001770019531,,15224
Courtyard by Marriott Pittsburgh Shadyside Pool,40.456238; -79.939754,5308 Liberty Ave,15224
Shadyside Hideaway,40.45789568764407; -79.92551620459791,228 S Highland Ave Rear,15206
Shadyside Market,40.45088248037593; -79.93489722049397,5414 Walnut St,15232
West Park American Hardware,40.472553011127765; -80.0739684091257,713 Broadway Ave,15136
The Dakota Apartments,40.4517988964905; -79.95082532920779,259 Melwood Ave; Centre,15213
Bellevue Chiropractic,40.49845449718011; -80.0609603169772,,15202
lder Place,40.456920506236735; -79.92693228193157,5944 Alder St; Spahr Street,15232
Foster Plaza Building 3,40.42151086167388; -80.06253461145025,601 Holiday Dr,15220
Salvation Army North Side,40.457216239010506; -80.00669155727472,100 W North Ave,15212
Pittsburgh Tech Security Conference,40.439965; -79.991869,,0
Darragh Street Luxury Appartments,40.447426; -79.95082195732911,341 Darragh St,15213
Pittsburgh Quad,40.44140598450176; -79.9919749560668,,15219
Brentwood Park,40.374911839023845; -79.97148642581999,,15227
Foster Plaza Building 10,40.42080938700703; -80.06029592771412,680 Andersen Dr,15220
Three Gateway Center,40.4418357509869; -80.00555276870728,401 Liberty Ave,15222
Dollar Bank,40.43887227773662; -79.99961479385632,340 4th Ave,15222
Tennis Courts @ Mt. Lebanon High School,40.3799935217479; -80.04403158817321,,15228
llegheny Center Mall,40.45074345590087; -80.00565956515973,1 Allegheny Ctr,15212
Metal Tech,40.4349838569991; -79.9708813731461,2400 2nd Ave,15219
East Liberty YMCA,40.46120366309148; -79.92607200101433,,0
Sprint Store,40.44069259364243; -79.9579006433487,3606 Forbes Ave,15213
Pizza Milano,40.4385821185373; -79.98796194710906,1304 5th Ave,15219
Pittsburgh Luxury Cruises,40.45444847836718; -79.98539946213876,,15222
McGill House,40.44170918809502; -79.93906080722809,Margaret Morrison St; at Carnegie Mellon University,15213
Seagate Building,40.448205386710136; -79.99327840819726,1251 Waterfront Pl,15222
Costco Gas,40.40448424068523; -79.92124008202052,,1
Dads House,40.45169448852539; -79.94091033935547,,15232
Filmet Park,40.42517330042147; -79.88066554570403,; La Crosse,1
GH Center For Children,40.45630438830887; -79.99968032208574,,15212
Cantina,40.46678926229609; -80.03402669197145,California ave,15212
incoln Elementary School,40.46046507143747; -79.91182282904661,200-348 Lincoln Ave,15206
William Pitt Union 9th Floor Lounge,40.443725; -79.954931,,0
Welch House,40.44116178819317; -79.93949435752585,Margaret Morrison St; at Carnegie Mellon University,15213
Brioche Dore,40.4438791107124; -79.95694319892762,123 University Pl; at Thackeray Ave,15213
Killarney Underpass,40.37427918203342; -80.00779997959927,,0
Panera Bread,40.4416766; -79.9565491,3800 Forbes Ave,15213
Bus Stop For Cedar Ave and East Ohio St,40.452923; -80.001495,,15212
Kennywood maint. shop,40.38825787420024; -79.8661519638172,,0
Schenley Park Bridge,40.44133123969673; -79.94932918962945,Schenley Dr; Boundary & Frew,0
Team House,40.451912; -79.928011,5806 Howe street,0
Gateway to Pittsburgh,40.43539319844439; -80.00785458131881,,0
Conicella's Pizza,40.42541873478205; -79.94306194216907,422 Greenfield Ave,15207
Wise Guys Pizza,40.47638666896951; -80.03130197525024,Woods Run Avenue,15212
Schenley House,40.44911837934869; -79.9504011063216,151 N Craig St,15213
Saint Anselm Church,40.42150026877657; -79.88250828223914,McClure Street,15218
Ingram Terrace,40.443974; -80.067797,,15205
Brentwood Field,40.37511770686045; -79.97105617264678,418 Jacobson Dr,15227
Excuses Bar & Grill,40.42639953583851; -79.97049802946574,2526 E Carson St; E Carson at S 26th,15203
1 Allegheny Center,40.45180874435167; -80.00639334343325,1 Allegheny Ctr,15212
1914 Murray Ave,40.4355906419219; -79.9230332465082,1914 Murray Ave,15217
Oakland Cafe,40.44909633397876; -79.94993020980179,315 N Craig St,15213
University Center Turnaround,40.444144854536646; -79.941952696396,Carnegie Mellon University,15213
Hampton Inn Pittsburgh Univercity Center,40.43598911319283; -79.96308535337448,3315 Hamlet Pl,15213
Elixir Hair Artistry & Design,40.38364410400391; -80.04388427734375,,1
First National Bank,40.448128; -80.004096,100 Federal St; Isabella St.,15212
Shirley Apartments,40.44773427153936; -79.9515256251187,133 N Dithridge St,15213
Shiloh Street,40.431508; -80.006866,,0
Woodlawn Apartments,40.44255757393417; -79.9377758226728,5115 Margaret Morrison St; Forbes Ave,15213
Shadyside Village Shopping Plaza,40.45050952349995; -79.93554830290465,800 blk South Aiken Avenue; at Walnut Street,15232
Bouquet Gardens - Building C,40.440068473583466; -79.9551675925419,265 Oakland Ave,15213
SouthSide Works Cinema,40.42758409098684; -79.96521320540715,425 Cinema Dr; btw Sidney St and Tunnel Blvd,15203
Chatham University Berry Hall,40.4498710663112; -79.92737909514862,Woodland Road,15232
Mazzo's Shoe Repair,40.39518342526782; -80.02200618954876,618 Brookline Blvd,15226
Sloppy Joe's Cafe,40.43013104767103; -80.00744509874623,217 Shiloh St,15211
DICK'S Sporting Goods,40.41050396159028; -79.91123847274345,350 East Waterfront Drive,15120
derson Dining Hall,40.44714616614843; -79.92418137693575,Woodland Rd,15232
Pittsburgh Board of Education,40.43523006811932; -79.98555784781276,,15203
Carnegie Park,40.40362714429541; -80.07417573701233,,15106
Rite Aid,40.39190249671511; -79.98736068606371,2150 Brownsville Rd Ste 120,15210
Starbucks,40.464019825692255; -79.92289114389794,,15206
llegheny Refrigeration,40.4554609; -80.015046,1228 Brighton Rd,15233
Carriage House - Chatham University,40.44702870674379; -79.92450714111328,1 Woodland Rd; at Chapel Hill Rd,15232
Oakwood Apartments,40.44057013333333; -79.9559608,236 Oakland Ave; Sennott Street,15213
Kings Family Restaurants,40.387419201593616; -80.0920507408377,2100 Washington Pike,15106
