id,addr,city,phone,type,class
0,10801 w. pico blvd.,west la,310-475-3585,american,534
1,2027 sawtelle blvd.,west la,310-479-2231,` noodle shops ',535
2,3345 kimber dr.,westlake village,805-498-4049,mexican,536
3,9882 little santa monica blvd.,beverly hills,310-788-2306,` pacific new wave ',537
4,1433 third st. promenade,santa monica,310-458-2889,` fast food ',538
5,515 s. olive st.,los angeles,213-612-1580,continental,539
6,45 s. mentor ave.,pasadena,818-795-2478,californian,540
7,19565 parthenia ave.,northridge,818-886-5679,delis,541
8,9600 brighton way,beverly hills,310-276-7732,` coffee shops ',542
9,1570 rosecrans ave. s.,pasadena,310-643-5229,californian,543
10,3838 centinela ave.,mar vista,310-397-5703,italian,544
11,838 lincoln blvd.,venice,310-399-1955,american,545
12,9777 little santa monica blvd.,beverly hills,310-888-0108,` pacific new wave ',546
13,3266 w. sixth st.,la,213-480-8668,hamburgers,547
14,1716 pch,redondo beach,310-540-1222,eclectic,548
15,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian,549
16,1136 westwood blvd.,westwood,310-209-1422,italian,550
17,8909 sunset blvd.,w. hollywood,310-652-3100,` coffee shops ',551
18,1059 broxton ave.,westwood,310-208-4444,` middle eastern ',552
19,1949 westwood blvd.,west la,310-475-0400,chinese,553
20,6333 w. third st.,la,213-933-0358,cajun/creole,554
21,6145 franklin ave.,hollywood,213-467-7678,` coffee shops ',555
22,10428 1/2 national blvd.,la,310-815-1290,indonesian,556
23,8424 beverly blvd.,la,213-651-2866,` coffee shops ',557
24,502 santa monica blvd,santa monica,310-917-6671,californian,558
25,2011 ocean front walk,venice,310-306-1995,` hot dogs ',559
26,1023 abbot kinney blvd.,venice,310-399-5811,` american ( new ) ',560
27,10516 w. pico blvd.,west la,310-204-0692,` coffee shops ',561
28,4017 s. sepulveda blvd.,culver city,310-397-6654,delis,562
29,4663 long beach blvd.,long beach,310-423-7327,southern/soul,563
30,7507 melrose ave.,la,213-651-3361,american,564
31,4000 colfax ave.,studio city,818-508-1570,seafood,565
32,6333 w. third st.,la,213-933-0773,american,566
33,8393 w. beverly blvd.,la,213-655-9045,chicken,567
34,10506 little santa monica blvd.,century city,310-470-4992,` french ( new ) ',568
35,22800 pch,malibu,310-456-6299,mexican,569
36,1842 e. first,st. boyle hts .,213-265-2887,mexican/tex-mex,570
37,704 s. alvarado st.,la,213-483-8050,delis,571
38,30869 thousand oaks blvd.,westlake village,818-706-7706,` health food ',572
39,10509 w. pico blvd.,rancho park,310-475-7564,american,573
40,519 s. fairfax ave.,la,213-938-8800,desserts,574
41,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american,575
42,13329 washington blvd.,marina del rey,310-306-7829,american,576
43,1147 third st.,santa monica,310-451-0843,californian,577
44,8474 w. third st.,la,213-782-0181,` noodle shops ',578
45,7261 melrose ave.,la,213-935-5280,hamburgers,579
46,17040 ventura blvd.,encino,818-906-8881,pizza,580
47,3117 ocean park blvd.,santa monica,310-452-5728,american,581
